timestamp,temperature,humidity,pressure
2026-09-01 20:48:05,22.91,69.09,915.5
2026-09-01 20:49:02,23.77,65.47,915.36
2026-09-01 20:50:04,23.37,65.28,915.4
2026-09-01 20:51:06,23.05,66.6,915.41
2026-09-01 20:52:08,22.87,66.9,915.47
2026-09-01 20:53:10,22.78,67.75,915.42
2026-09-01 20:54:11,22.75,68.08,915.44
2026-09-01 20:55:13,22.77,68.12,915.49
2026-09-01 20:56:15,22.73,67.17,915.46
2026-09-01 20:57:17,22.74,68.13,915.41
2026-09-01 20:58:19,22.73,67.39,915.48
2026-09-01 20:59:21,22.7,67.74,915.48
2026-09-01 21:00:23,22.73,67.69,915.48
2026-09-01 21:01:25,22.73,67.56,915.52
2026-09-01 21:02:26,22.74,67.59,915.39
2026-09-01 21:03:28,22.75,67.52,915.41
2026-09-01 21:04:30,22.77,67.46,915.4
2026-09-01 21:05:32,22.77,67.33,915.37
2026-09-01 21:06:34,22.78,67.31,915.47
2026-09-01 21:07:36,22.79,67.28,915.35
2026-09-01 21:08:38,22.78,67.41,915.44
2026-09-01 21:09:39,22.79,67.5,915.52
