timestamp,temperature,humidity,pressure
2026-08-01 00:00:00,15.63,97.64,1011.44
2026-08-01 00:15:00,15.55,97.47,1011.46
2026-08-01 00:30:00,14.75,98.0,1011.39
2026-08-01 00:45:00,15.14,98.0,1011.51
2026-08-01 01:00:00,14.96,98.0,1011.84
2026-08-01 01:15:00,14.78,98.0,1011.76
2026-08-01 01:30:00,14.5,98.0,1011.88
2026-08-01 01:45:00,14.79,98.0,1012.09
2026-08-01 02:00:00,14.17,98.0,1012.28
2026-08-01 02:15:00,14.04,98.0,1012.16
2026-08-01 02:30:00,14.3,98.0,1012.31
2026-08-01 02:45:00,14.56,98.0,1012.76
2026-08-01 03:00:00,14.72,98.0,1012.65
2026-08-01 03:15:00,14.41,98.0,1012.76
2026-08-01 03:30:00,15.14,98.0,1013.12
2026-08-01 03:45:00,14.83,97.69,1013.06
2026-08-01 04:00:00,15.35,95.89,1013.3
2026-08-01 04:15:00,15.72,95.8,1013.29
2026-08-01 04:30:00,15.99,94.76,1013.24
2026-08-01 04:45:00,16.66,94.45,1013.36
2026-08-01 05:00:00,16.5,92.83,1013.85
2026-08-01 05:15:00,16.95,91.82,1013.83
2026-08-01 05:30:00,17.57,91.39,1014.2
2026-08-01 05:45:00,17.93,87.89,1013.98
2026-08-01 06:00:00,18.48,88.27,1014.43
2026-08-01 06:15:00,18.55,84.74,1014.14
2026-08-01 06:30:00,18.86,83.98,1014.34
2026-08-01 06:45:00,19.1,81.59,1014.31
2026-08-01 07:00:00,20.33,82.39,1014.53
2026-08-01 07:15:00,20.07,79.51,1014.64
2026-08-01 07:30:00,21.27,79.4,1015.04
2026-08-01 07:45:00,21.8,76.42,1015.13
2026-08-01 08:00:00,21.66,75.59,1014.98
2026-08-01 08:15:00,22.26,73.88,1015.31
2026-08-01 08:30:00,22.67,70.66,1015.28
2026-08-01 08:45:00,23.29,69.04,1015.09
2026-08-01 09:00:00,23.66,67.25,1014.91
2026-08-01 09:15:00,24.26,67.36,1015.31
2026-08-01 09:30:00,24.93,63.71,1015.24
2026-08-01 09:45:00,24.98,63.99,1015.06
2026-08-01 10:00:00,25.56,61.12,1015.23
2026-08-01 10:15:00,26.28,59.93,1015.0
2026-08-01 10:30:00,26.23,59.87,1015.51
2026-08-01 10:45:00,26.72,57.81,1015.17
2026-08-01 11:00:00,27.47,57.08,1015.34
2026-08-01 11:15:00,27.82,55.09,1015.16
2026-08-01 11:30:00,27.66,55.21,1014.95
